Hisse Kodu;Dağıtma Tarihi;Temettü Verimi (%);Hisse Başına Brüt TL;Brüt Temettü Oranı (%);Hisse Başına Net TL;Net Temettü Oranı (%)
TOASO;05042010;4.44;0.2600;26.00;22.10;130000000;36
TOASO;13042009;3.81;0.0720;7.20;6.12;36000000;20
TOASO;12052008;3.66;0.1800;18.00;15.50;90000000;51
TOASO;13052007;2.07;0.1200;12.00;10.50;60000000;73
TOASO;14052006;2.42;0.1000;10.00;9.84;50000000;35
TOASO;01052005;3.60;0.0667;6.67;6.67;30000000;89
TOASO;29051997;2.04;0.1430;14.30;14.30;1201200;A/D
TCELL;26122025;1.87;1.8182;181.82;154.55;4000000000;15
TCELL;20062025;1.87;1.8182;181.82;154.55;4000000000;15
TCELL;05122024;3.03;2.8532;285.32;256.79;6276998060;35
TCELL;20122023;1.88;1.0273;102.73;92.45;2260000000;33
TCELL;26072022;3.22;0.5717;57.17;51.45;1257774540;25
