Kod;BölünmeSonrasıSermaye(TL);Tarih;BedelliOran(%);BedelliNom.Tutar(TL);Diğer(*);BedelsizIKOran(%);BedelsizTemettüOran(%);NakitTem.Brüt(%);NakitTemettü(TL);HisseBaşıBrüt(TL)
BIMAS;607200000.0;2021-05-20;0.0;0.0;Nakit Temettü;0.0;0.0;200.0;1214400000.0;2.0
EKGYO;3800000000.0;2021-05-05;0.0;0.0;Nakit Temettü;0.0;0.0;2.17;82460000.0;0.0217
HEKTS;860000000.0;2021-04-30;175.76924;400000000.0;Bedelli ve Bedelsiz Sermaye Artırımı;102.13462;0.0;0.0;0.0;0.0
TCELL;2200000000.0;2021-04-30;0.0;0.0;Nakit Temettü;0.0;0.0;39.17859;861928980.0;0.3917859
SASA;1738522304.0900035;2021-04-27;0.0;0.0;Bedelsiz Temettü;0.0;34.93975;0.0;0.0;0.0
KCHOL;2535898050.0;2021-04-14;0.0;0.0;Nakit Temettü;0.0;0.0;58.5;1483500359.0;0.5849999999014156
ENKAI;5600000000.0;2021-04-13;0.0;0.0;Nakit Temettü;0.0;0.0;35.71428;2000000000.0;0.35714285714285715
SAHOL;2040403931.0;2021-04-05;0.0;0.0;Nakit Temettü;0.0;0.0;35.0;714141376.0;0.35000000007351484
GARAN;4200000000.0;2021-04-05;0.0;0.0;Nakit Temettü;0.0;0.0;14.85238;623799960.0;0.1485238
ISCTR;4500263995.120001;2021-04-02;0.0;0.0;Nakit Temettü;0.0;0.0;15.13527;681082770.44;0.15134284814814264
TTKOM;3500000000.0;2021-04-01;0.0;0.0;Nakit Temettü;0.0;0.0;17.83366;624178100.0;0.1783366
YKBNK;8447051284.0;2021-04-01;0.0;0.0;Nakit Temettü;0.0;0.0;5.91922;500000000.0;0.05919225338989904
AKBNK;5200000000.0;2021-03-26;0.0;0.0;Nakit Temettü;0.0;0.0;12.04;626080000.0;0.1204
EREGL;3500000000.0;2021-03-24;0.0;0.0;Nakit Temettü;0.0;0.0;185.0;6475000000.0;1.85
FROTO;350910000.0;2021-03-24;0.0;0.0;Nakit Temettü;0.0;0.0;642.0;2252842200.0;6.42
TOASO;500000000.0;2021-03-23;0.0;0.0;Nakit Temettü;0.0;0.0;300.0;1500000000.0;3.0
BIMAS;607200000.0;2021-01-08;0.0;0.0;Nakit Temettü;0.0;0.0;200.0;1214400000.0;2.0
ASELS;2280000000.0;2020-12-18;0.0;0.0;Nakit Temettü;0.0;0.0;4.89766;55833324.0;0.0244883
TCELL;2200000000.0;2020-11-30;0.0;0.0;Nakit Temettü;0.0;0.0;36.8919;811621800.0;0.368919
